Name,Condition,Price,StatTrakPrice,
AK-47 | Redline,(Minimal Wear),92,245,
AK-47 | Redline,(Field-Tested),18,43,
AK-47 | Redline,(Well-Worn),13,37,
AK-47 | Redline,(Battle-Scarred),12,25,
M4A4 | Asiimov,(Field-Tested),164,583,
M4A4 | Asiimov,(Well-Worn),117,369,
M4A4 | Asiimov,(Battle-Scarred),62,165,
AWP | Dragon Lore,(Factory New),10285,,
AWP | Dragon Lore,(Minimal Wear),8194,,
AWP | Dragon Lore,(Field-Tested),5630,,
AWP | Dragon Lore,(Well-Worn),4862,,
AWP | Dragon Lore,(Battle-Scarred),3626,,
Desert Eagle | Blaze,(Factory New),519,,
Desert Eagle | Blaze,(Minimal Wear),527,,
USP-S | Kill Confirmed,(Factory New),204,,
USP-S | Kill Confirmed,(Minimal Wear),87,,
USP-S | Kill Confirmed,(Field-Tested),54,,
USP-S | Kill Confirmed,(Well-Worn),42,,
USP-S | Kill Confirmed,(Battle-Scarred),40,,
Glock-18 | Water Elemental,(Factory New),13,,
Glock-18 | Water Elemental,(Minimal Wear),7,,
Glock-18 | Water Elemental,(Field-Tested),4,,
Glock-18 | Water Elemental,(Well-Worn),6,,
Glock-18 | Water Elemental,(Battle-Scarred),3,,
P90 | Death by Kitty,(Minimal Wear),62,,
P90 | Death by Kitty,(Field-Tested),39,,
AUG | Chameleon,(Factory New),6,,
AUG | Chameleon,(Minimal Wear),4,,
AUG | Chameleon,(Field-Tested),3,,
AUG | Chameleon,(Well-Worn),3,,
AUG | Chameleon,(Battle-Scarred),3,,
SG 553 | Pulse,(Minimal Wear),4,,
SG 553 | Pulse,(Field-Tested),2.31,,
SG 553 | Pulse,(Well-Worn),2.6,,
SG 553 | Pulse,(Battle-Scarred),2.21,,
FAMAS | Afterimage,(Minimal Wear),33,,
FAMAS | Afterimage,(Field-Tested),28,,
FAMAS | Afterimage,(Well-Worn),42,,
FAMAS | Afterimage,(Factory New),57.5,,
Galil AR | Firefight,(Factory New),2.3,,
Galil AR | Firefight,(Minimal Wear),0.7,,
Galil AR | Firefight,(Field-Tested),0.3,,
Galil AR | Firefight,(Well-Worn),0.3,,
Galil AR | Firefight,(Battle-Scarred),0.29,,
SSG 08 | Blood in the Water,(Factory New),73,,
SSG 08 | Blood in the Water,(Minimal Wear),44.47,,
SSG 08 | Blood in the Water,(Field-Tested),44.32,,
MAC-10 | Neon Rider,(Factory New),11.23,,
MAC-10 | Neon Rider,(Minimal Wear),7.47,,
MAC-10 | Neon Rider,(Field-Tested),6.8,,
MAC-10 | Neon Rider,(Well-Worn),8,,
MP7 | Bloodsport,(Factory New),4,,
MP7 | Bloodsport,(Minimal Wear),2.1,,
MP7 | Bloodsport,(Field-Tested),1.29,,
MP7 | Bloodsport,(Well-Worn),1.86,,
MP7 | Bloodsport,(Battle-Scarred),1.23,,
MP9 | Ruby Poison Dart,(Factory New),2.1,,
MP9 | Ruby Poison Dart,(Minimal Wear),1.2,,
MP9 | Ruby Poison Dart,(Field-Tested),0.77,,
MP9 | Ruby Poison Dart,(Well-Worn),0.82,,
MP9 | Ruby Poison Dart,(Battle-Scarred),0.75,,
P250 | See Ya Later,(Factory New),11,,
P250 | See Ya Later,(Minimal Wear),6,,
P250 | See Ya Later,(Field-Tested),3.17,,
P250 | See Ya Later,(Well-Worn),4.18,,
P250 | See Ya Later,(Battle-Scarred),2.77,,
CZ75-Auto | The Fuschia Is Now,(Factory New),57.21,,
CZ75-Auto | The Fuschia Is Now,(Minimal Wear),30.36,,
CZ75-Auto | The Fuschia Is Now,(Field-Tested),20,,
CZ75-Auto | The Fuschia Is Now,(Well-Worn),25,,
Five-SeveN | Case Hardened,(Factory New),24,,
Five-SeveN | Case Hardened,(Minimal Wear),15,,
Five-SeveN | Case Hardened,(Field-Tested),13,,
Five-SeveN | Case Hardened,(Well-Worn),12,,
Five-SeveN | Case Hardened,(Battle-Scarred),12.31,,
Tec-9 | Fuel Injector,(Factory New),15.15,,
Tec-9 | Fuel Injector,(Minimal Wear),5.77,,
Tec-9 | Fuel Injector,(Field-Tested),2.81,,
Tec-9 | Fuel Injector,(Well-Worn),2,,
Tec-9 | Fuel Injector,(Battle-Scarred),1.9,,
Nova | Hyper Beast,(Factory New),37,,
Nova | Hyper Beast,(Minimal Wear),22.4,,
Nova | Hyper Beast,(Field-Tested),14.6,,
Nova | Hyper Beast,(Well-Worn),13,,
Nova | Hyper Beast,(Battle-Scarred),13,,
Karambit | Fade,(Factory New),2330,,
Karambit | Fade,(Minimal Wear),2274,,
Butterfly Knife | Slaughter,(Factory New),1500,,https://csgoskins.gg/items/butterfly-knife-slaughter
Butterfly Knife | Slaughter,(Minimal Wear),1200,,
Butterfly Knife | Slaughter,(Field-Tested),1100,,
Bayonet | Marble Fade,(Factory New),571,,https://csgoskins.gg/items/bayonet-marble-fade
Bayonet | Marble Fade,(Minimal Wear),604,,
M9 Bayonet | Crimson Web,(Factory New),5000,,https://csgoskins.gg/items/m9-bayonet-crimson-web
M9 Bayonet | Crimson Web,(Minimal Wear),1100,,
M9 Bayonet | Crimson Web,(Field-Tested),586,,
M9 Bayonet | Crimson Web,(Well-Worn),526,,
M9 Bayonet | Crimson Web,(Battle-Scarred),520,,
Gut Knife | Lore,(Factory New),316,,https://steamcommunity.com/market/search?q=Gut+Knife+%7C+Lore
Gut Knife | Lore,(Minimal Wear),217,,
Gut Knife | Lore,(Field-Tested),175,,
Gut Knife | Lore,(Well-Worn),180,,
Gut Knife | Lore,(Battle-Scarred),143,,
Falchion Knife | Tiger Tooth,(Factory New),275,,https://steamcommunity.com/market/search?q=Falchion+Knife+%7C+Tiger+Tooth
Falchion Knife | Tiger Tooth,(Minimal Wear),345,, 
Chroma Case,NA,2.64,,https://steamcommunity.com/market/search?q=gamma+Case
Gamma Case,NA,2.18,,https://steamcommunity.com/market/search?q=gamma+Case
Spectrum Case,NA,2.53,,https://steamcommunity.com/market/search?q=Spectrum+Case
Danger Zone Case,NA,0.7,,https://steamcommunity.com/market/search?q=Danger+Zone+Case
Prisma Case,NA,0.62,,https://steamcommunity.com/market/search?q=Prisma+Case
Shattered Web Case,NA,3.61,,https://steamcommunity.com/market/search?q=Shattered+Web+Case
Fracture Case,NA,0.28,,https://steamcommunity.com/market/search?q=Fracture+Case
Operation Broken Fang Case,NA,4.26,,https://steamcommunity.com/market/search?q=Operation+Broken+Fang+Case
Clutch Case,NA,0.46,,https://steamcommunity.com/market/search?q=Clutch+Case
Horizon Case,NA,0.83,,https://steamcommunity.com/market/search?q=Horizon+Case
Sticker | Bomb Doge,NA,1.38,,https://steamcommunity.com/market/search?q=Sticker+%7C+Bomb+Doge
M4A1-S | Hyper Beast,Factory New,,,
M4A1-S | Hyper Beast,Minimal Wear,,,
M4A1-S | Hyper Beast,Field-Tested,,,
M4A1-S | Hyper Beast,Well-Worn,,,
M4A1-S | Hyper Beast,Battle-Scarred,,,
AWP | Asiimov,Field-Tested,,,
AWP | Asiimov,Well-Worn,,,
AWP | Asiimov,Battle-Scarred,,,
USP-S | Orion,Factory New,,,
USP-S | Orion,Minimal Wear,,,
USP-S | Orion,Field-Tested,,,